2.5 1.0 2 7 7 4 10	1
3.0 1.0 2 7 7 3 6	1
2.0 1.0 2 7 7 5 12	1
5.4 1.0 1 13 13 6 44	1
6.0 1.0 2 13 13 3 21	1
6.0 1.0 2 13 13 4 21	1
3.85714285714 1.0 3 13 13 8 42	1
5.5 1.0 3 13 13 4 20	1
5.5 1.0 2 13 13 4 20	1
4.25 1.0 2 13 13 5 25	1
1.0 3.0 12 9 15 3 10	1
1.0 1.5 12 2 15 4 4	1
0 0 3 9 15 2 0	1
1.0 1.0 3 9 15 2 1	1
1.0 1.0 12 9 15 4 4	1
1.0 3.0 12 2 15 3 10	1
1.0 3.0 12 2 15 4 20	1
1.0 3.0 12 9 15 3 10	1
2.0 1.0 4 219 237 3 4	1
4.0 1.0 4 219 237 7 28	1
1.75 1.0 2 219 237 6 8	1
0 0 16 219 237 2 0	1
0 0 88 219 237 2 0	1
0 0 88 219 237 2 0	1
5.0 1.33333333333 4 219 237 5 55	1
0 0 2 219 237 2 0	1
2.0 1.0 6 219 237 5 15	1
0 0 2 219 237 2 0	1
2.0 1.0 6 219 237 5 15	1
4.0 2.0 4 219 237 3 18	1
4.33333333333 1.0 4 219 237 5 42	1
1.0 1.0 88 219 237 4 4	1
4.0 2.0 16 219 237 3 18	1
3.0 1.33333333333 16 219 237 5 26	1
4.0 2.0 4 219 237 3 18	1
0 0 88 219 237 2 0	1
4.33333333333 1.0 4 219 237 5 41	1
4.66666666667 1.0 5 219 237 5 42	1
4.0 2.0 88 8 237 3 18	1
0 0 88 2 237 2 0	1
0 0 88 219 237 2 0	1
0 0 88 219 237 2 0	1
0 0 88 8 237 2 0	1
3.5 1.0 16 219 237 4 24	1
3.0 2.0 2 219 237 4 12	1
5.0 1.33333333333 16 219 237 5 55	1
4.66666666667 1.0 2 219 237 5 24	1
1.0 1.0 2 219 237 3 2	1
1.0 1.0 88 219 237 3 2	1
3.0 1.0 4 219 237 8 42	1
0 0 4 219 237 2 0	1
3.0 2.0 88 8 237 4 12	1
1.0 1.0 88 219 237 5 9	1
4.0 2.0 88 8 237 3 18	1
4.0 2.0 4 219 237 3 8	1
7.0 1.0 88 219 237 4 22	1
0 0 16 219 237 2 0	1
0 0 88 219 237 2 0	1
0 0 4 219 237 2 0	1
0 0 88 219 237 2 0	1
0 0 88 219 237 2 0	1
2.0 1.0 4 219 237 3 4	1
9.0 1.0 6 219 237 3 16	1
0 0 88 2 237 2 0	1
4.5 1.0 2 219 237 4 6	1
1.0 1.0 4 219 237 3 2	1
0 0 88 219 237 2 0	1
0 0 88 219 237 2 0	1
4.0 2.0 4 219 237 3 8	1
0 0 88 219 237 2 0	1
0 0 88 219 237 2 0	1
2.66666666667 1.0 16 219 237 5 21	1
9.0 1.0 88 219 237 3 16	1
4.0 2.0 16 219 237 3 18	1
0 0 88 219 237 2 0	1
1.5 1.0 88 219 237 5 15	1
7.0 1.0 6 219 237 4 22	1
0 0 2 219 237 2 0	1
5.0 1.33333333333 4 219 237 5 55	1
9.0 1.0 88 219 237 3 16	1
0 0 2 219 237 2 0	1
3.5 1.0 88 219 237 4 6	1
0 0 88 219 237 2 0	1
1.0 1.0 88 219 237 4 4	1
2.0 1.0 88 219 237 3 2	1
0 0 6 219 237 2 0	1
7.0 1.0 88 219 237 4 22	1
0 0 88 219 237 2 0	1
4.0 1.0 4 26 26 4 22	1
6.0 1.0 4 26 26 4 32	1
2.875 1.0 2 26 26 10 48	1
0 0 7 26 26 3 0	1
4.66666666667 1.0 2 26 26 5 34	1
4.66666666667 1.0 4 26 26 5 36	1
3.2 1.0 7 26 26 7 38	1
4.66666666667 1.0 2 26 26 5 36	1
3.0 1.0 2 26 26 5 24	1
4.0 1.0 7 26 26 4 22	1
1.57142857143 1.0 2 26 26 9 22	1
4.66666666667 1.0 4 26 26 5 36	1
1.0 1.0 14 67 67 7 22	1
3.66666666667 1.0 10 67 67 5 24	1
1.85714285714 1.0 4 67 67 9 22	1
3.2 1.0 2 67 67 7 28	1
2.66666666667 1.0 7 67 67 5 26	1
3.0 1.0 7 67 67 3 4	1
1.33333333333 1.0 18 67 67 5 21	1
1.71428571429 1.0 18 67 67 9 48	1
1.5 1.0 14 67 67 12 52	1
2.5 1.0 10 67 67 6 48	1
2.0 1.0 14 67 67 13 36	1
1.71428571429 1.0 18 67 67 9 48	1
3.0 1.0 10 67 67 4 28	1
2.5 1.0 10 67 67 6 48	1
2.83333333333 1.0 18 67 67 8 40	1
2.0 1.0 18 67 67 4 22	1
2.25 1.0 18 67 67 5 29	1
1.75 1.0 10 67 67 10 56	1
2.66666666667 1.0 2 67 67 5 10	1
2.66666666667 1.0 4 67 67 8 30	1
1.0 1.0 14 67 67 6 16	1
2.5 1.0 4 67 67 6 44	1
2.5 1.0 7 67 67 5 28	1
2.5 1.0 4 67 67 6 44	1
1.0 1.0 14 67 67 5 6	1
1.33333333333 1.0 18 67 67 5 21	1
2.25 1.0 18 67 67 6 29	1
1.0 1.0 2 67 67 3 2	1
2.0 1.0 18 67 67 4 24	1
3.0 1.0 7 67 67 3 4	1
1.0 1.0 14 67 67 6 20	1
1.5 1.0 14 67 67 6 8	1
2.83333333333 1.0 18 67 67 8 40	1
